goos: darwin
goarch: arm64
pkg: github.com/microsoft/TypeScript/tsc/internal/ast
cpu: Apple M1
BenchmarkTraversalSizeScaling/full-tree/subtrees-2048/representation-8          	    5836	    177835 ns/op	     14337 logical-nodes	        12.40 ns/visit	     14337 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-2048/representation-8          	    6894	    208930 ns/op	     14337 logical-nodes	        14.57 ns/visit	     14337 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-4096/representation-8          	    3404	    336510 ns/op	     28673 logical-nodes	        11.74 ns/visit	     28673 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-4096/representation-8          	    3334	    338458 ns/op	     28673 logical-nodes	        11.80 ns/visit	     28673 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-4096/representation-8          	    3382	    335957 ns/op	     28673 logical-nodes	        11.72 ns/visit	     28673 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-4096/representation-8          	    3043	    411155 ns/op	     28673 logical-nodes	        14.34 ns/visit	     28673 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-4096/representation-8          	    3349	    334921 ns/op	     28673 logical-nodes	        11.68 ns/visit	     28673 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-4096/representation-8          	    3374	    331738 ns/op	     28673 logical-nodes	        11.57 ns/visit	     28673 visits/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/microsoft/TypeScript/tsc/internal/ast	303.201s
