goos: darwin
goarch: arm64
pkg: github.com/microsoft/TypeScript/tsc/internal/ast
cpu: Apple M1
BenchmarkTraversalSizeScaling/full-tree/subtrees-64/representation-8          	  293548	      3768 ns/op	       449.0 logical-nodes	         8.391 ns/visit	       449.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-64/representation-8          	  301906	      3799 ns/op	       449.0 logical-nodes	         8.462 ns/visit	       449.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-64/representation-8          	  301378	      3774 ns/op	       449.0 logical-nodes	         8.405 ns/visit	       449.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-128/representation-8         	  156418	      7527 ns/op	       897.0 logical-nodes	         8.391 ns/visit	       897.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-128/representation-8         	  155365	      7624 ns/op	       897.0 logical-nodes	         8.500 ns/visit	       897.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-128/representation-8         	  148172	      7496 ns/op	       897.0 logical-nodes	         8.357 ns/visit	       897.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-128/representation-8         	  155898	      7544 ns/op	       897.0 logical-nodes	         8.410 ns/visit	       897.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-128/representation-8         	  147736	      7529 ns/op	       897.0 logical-nodes	         8.394 ns/visit	       897.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-128/representation-8         	  155856	      7674 ns/op	       897.0 logical-nodes	         8.556 ns/visit	       897.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-256/representation-8         	   79982	     14766 ns/op	      1793 logical-nodes	         8.236 ns/visit	      1793 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-256/representation-8         	   77128	     15147 ns/op	      1793 logical-nodes	         8.448 ns/visit	      1793 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-256/representation-8         	   79612	     15304 ns/op	      1793 logical-nodes	         8.536 ns/visit	      1793 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-256/representation-8         	   74280	     14916 ns/op	      1793 logical-nodes	         8.319 ns/visit	      1793 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-256/representation-8         	   78063	     14797 ns/op	      1793 logical-nodes	         8.253 ns/visit	      1793 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-256/representation-8         	   79969	     14792 ns/op	      1793 logical-nodes	         8.250 ns/visit	      1793 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-512/representation-8         	   39032	     29895 ns/op	      3585 logical-nodes	         8.339 ns/visit	      3585 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-512/representation-8         	   39712	     30373 ns/op	      3585 logical-nodes	         8.472 ns/visit	      3585 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-512/representation-8         	   39901	     30602 ns/op	      3585 logical-nodes	         8.536 ns/visit	      3585 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-512/representation-8         	   39595	     30301 ns/op	      3585 logical-nodes	         8.452 ns/visit	      3585 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-512/representation-8         	   39574	     30446 ns/op	      3585 logical-nodes	         8.493 ns/visit	      3585 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-512/representation-8         	   39618	     30478 ns/op	      3585 logical-nodes	         8.502 ns/visit	      3585 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-1024/representation-8        	   19644	     67721 ns/op	      7169 logical-nodes	         9.446 ns/visit	      7169 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-1024/representation-8        	    9103	    125488 ns/op	      7169 logical-nodes	        17.50 ns/visit	      7169 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-1024/representation-8        	   17167	     60840 ns/op	      7169 logical-nodes	         8.487 ns/visit	      7169 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-1024/representation-8        	   19657	     59447 ns/op	      7169 logical-nodes	         8.292 ns/visit	      7169 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-1024/representation-8        	   19048	     67514 ns/op	      7169 logical-nodes	         9.418 ns/visit	      7169 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-1024/representation-8        	   19899	     59047 ns/op	      7169 logical-nodes	         8.236 ns/visit	      7169 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-2048/representation-8        	    9546	    122718 ns/op	     14337 logical-nodes	         8.560 ns/visit	     14337 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-2048/representation-8        	    9372	    122293 ns/op	     14337 logical-nodes	         8.530 ns/visit	     14337 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-2048/representation-8        	    9006	    149929 ns/op	     14337 logical-nodes	        10.46 ns/visit	     14337 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-2048/representation-8        	    6747	    180065 ns/op	     14337 logical-nodes	        12.56 ns/visit	     14337 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-2048/representation-8        	    7323	    170952 ns/op	     14337 logical-nodes	        11.92 ns/visit	     14337 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-2048/representation-8        	    9270	    130892 ns/op	     14337 logical-nodes	         9.130 ns/visit	     14337 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-4096/representation-8        	    4790	    241829 ns/op	     28673 logical-nodes	         8.434 ns/visit	     28673 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-4096/representation-8        	    4628	    242183 ns/op	     28673 logical-nodes	         8.446 ns/visit	     28673 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-4096/representation-8        	    4810	    242177 ns/op	     28673 logical-nodes	         8.446 ns/visit	     28673 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-4096/representation-8        	    4790	    240446 ns/op	     28673 logical-nodes	         8.386 ns/visit	     28673 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-4096/representation-8        	    4771	    249988 ns/op	     28673 logical-nodes	         8.719 ns/visit	     28673 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-4096/representation-8        	    4824	    241446 ns/op	     28673 logical-nodes	         8.421 ns/visit	     28673 visits/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/microsoft/TypeScript/tsc/internal/ast	303.201s
