goos: darwin
goarch: arm64
pkg: github.com/microsoft/TypeScript/tsc/internal/ast
cpu: Apple M1
BenchmarkTraversalSizeScaling/full-tree/subtrees-4096/store-8        	    1647	    321978 ns/op	     28673 logical-nodes	        11.23 ns/visit	     28673 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-4096/store-8        	    1638	    322382 ns/op	     28673 logical-nodes	        11.24 ns/visit	     28673 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-4096/store-8        	    1633	    320851 ns/op	     28673 logical-nodes	        11.19 ns/visit	     28673 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-4096/store-8        	    1640	    320949 ns/op	     28673 logical-nodes	        11.19 ns/visit	     28673 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-4096/store-8        	    1650	    320816 ns/op	     28673 logical-nodes	        11.19 ns/visit	     28673 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-4096/store-8        	    1636	    322237 ns/op	     28673 logical-nodes	        11.24 ns/visit	     28673 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-4096/store-8        	    1624	    323060 ns/op	     28673 logical-nodes	        11.27 ns/visit	     28673 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-4096/store-8        	    1650	    321372 ns/op	     28673 logical-nodes	        11.21 ns/visit	     28673 visits/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/microsoft/TypeScript/tsc/internal/ast	51.400s
