=== RUN   TestZZReverseRoles
KindImportDeclaration Initializer: 2984
KindImportDeclaration Text: 2984
KindImportEqualsDeclaration Expression: 1148
KindImportEqualsDeclaration Initializer: 1148
KindImportEqualsDeclaration Text: 1148
KindImportKeyword Expression: 385
KindImportKeyword Initializer: 385
KindImportKeyword Text: 385
KindImportSpecifier Expression: 10467
KindImportSpecifier Initializer: 10467
KindImportSpecifier Text: 10467
KindImportType Expression: 243
KindImportType Initializer: 243
KindImportType Text: 243
KindInKeyword Expression: 324
KindInKeyword Initializer: 324
KindInKeyword Text: 324
KindIndexSignature Expression: 1515
KindIndexSignature Initializer: 1515
KindIndexSignature Text: 1515
KindIndexedAccessType Expression: 2345
KindIndexedAccessType Initializer: 2345
KindIndexedAccessType Text: 2345
KindInferType Expression: 555
KindInferType Initializer: 555
KindInferType Text: 555
KindInstanceOfKeyword Expression: 386
KindInstanceOfKeyword Initializer: 386
KindInstanceOfKeyword Text: 386
KindInterfaceDeclaration Expression: 8836
KindInterfaceDeclaration Initializer: 8836
KindInterfaceDeclaration Text: 8836
KindIntersectionType Expression: 1538
KindIntersectionType Initializer: 1538
KindIntersectionType Text: 1538
KindIntrinsicKeyword Expression: 3
KindIntrinsicKeyword Initializer: 3
KindIntrinsicKeyword Text: 3
KindJSDocAllType Expression: 47
KindJSDocAllType Initializer: 47
KindJSDocAllType Text: 47
KindJSDocNonNullableType Expression: 49
KindJSDocNonNullableType Initializer: 49
KindJSDocNonNullableType Text: 49
KindJSDocNullableType Expression: 88
KindJSDocNullableType Initializer: 88
KindJSDocNullableType Text: 88
KindJSDocOptionalType Expression: 32
KindJSDocOptionalType Initializer: 32
KindJSDocOptionalType Text: 32
KindJSDocVariadicType Expression: 12
KindJSDocVariadicType Initializer: 12
KindJSDocVariadicType Text: 12
KindJSImportDeclaration Expression: 33
KindJSImportDeclaration Initializer: 33
KindJSImportDeclaration Text: 33
KindJSTypeAliasDeclaration Expression: 288
KindJSTypeAliasDeclaration Initializer: 288
KindJSTypeAliasDeclaration Text: 288
KindJsxAttribute Expression: 989
KindJsxAttribute Text: 989
KindJsxAttributes Expression: 1670
KindJsxAttributes Initializer: 1670
KindJsxAttributes Text: 1670
KindJsxClosingElement Expression: 812
KindJsxClosingElement Initializer: 812
KindJsxClosingElement Text: 812
KindJsxClosingFragment Expression: 78
KindJsxClosingFragment Initializer: 78
KindJsxClosingFragment Text: 78
KindJsxElement Expression: 812
KindJsxElement Initializer: 812
KindJsxElement Text: 812
KindJsxExpression Initializer: 693
KindJsxExpression Text: 693
KindJsxFragment Expression: 78
KindJsxFragment Initializer: 78
KindJsxFragment Text: 78
KindJsxNamespacedName Expression: 124
KindJsxNamespacedName Initializer: 124
KindJsxOpeningElement Expression: 812
KindJsxOpeningElement Initializer: 812
KindJsxOpeningElement Text: 812
KindJsxOpeningFragment Expression: 78
KindJsxOpeningFragment Initializer: 78
KindJsxOpeningFragment Text: 78
KindJsxSelfClosingElement Expression: 858
KindJsxSelfClosingElement Initializer: 858
KindJsxSelfClosingElement Text: 858
KindJsxSpreadAttribute Initializer: 277
KindJsxSpreadAttribute Text: 277
KindJsxText Expression: 737
KindJsxText Initializer: 737
KindJsxText Text: 737
KindLabeledStatement Expression: 1065
KindLabeledStatement Initializer: 1065
KindLabeledStatement Text: 1065
KindLessThanEqualsToken Expression: 517
KindLessThanEqualsToken Initializer: 517
KindLessThanEqualsToken Text: 517
KindLessThanLessThanEqualsToken Expression: 26
KindLessThanLessThanEqualsToken Initializer: 26
KindLessThanLessThanEqualsToken Text: 26
KindLessThanLessThanToken Expression: 1596
KindLessThanLessThanToken Initializer: 1596
KindLessThanLessThanToken Text: 1596
KindLessThanToken Expression: 1736
KindLessThanToken Initializer: 1736
KindLessThanToken Text: 1736
KindLiteralType Expression: 21049
KindLiteralType Initializer: 21049
KindLiteralType Text: 21049
KindMappedType Expression: 801
KindMappedType Initializer: 801
KindMappedType Text: 801
KindMetaProperty Expression: 90
KindMetaProperty Initializer: 90
KindMethodDeclaration Expression: 7954
KindMethodDeclaration Initializer: 7954
KindMethodDeclaration Text: 7954
KindMethodSignature Expression: 7724
KindMethodSignature Initializer: 7724
KindMethodSignature Text: 7724
KindMinusEqualsToken Expression: 30
KindMinusEqualsToken Initializer: 30
KindMinusEqualsToken Text: 30
KindMinusToken Expression: 1304
KindMinusToken Initializer: 1304
KindMinusToken Text: 1304
KindMissingDeclaration Expression: 12
KindMissingDeclaration Initializer: 12
KindMissingDeclaration Text: 12
KindModuleBlock Expression: 3901
KindModuleBlock Initializer: 3901
KindModuleBlock Text: 3901
KindModuleDeclaration Expression: 4162
KindModuleDeclaration Initializer: 4162
KindModuleDeclaration Text: 4162
KindNamedExports Expression: 1201
KindNamedExports Initializer: 1201
KindNamedExports Text: 1201
KindNamedImports Expression: 1604
KindNamedImports Initializer: 1604
KindNamedImports Text: 1604
KindNamedTupleMember Expression: 229
KindNamedTupleMember Initializer: 229
KindNamedTupleMember Text: 229
KindNamespaceExport Expression: 32
KindNamespaceExport Initializer: 32
KindNamespaceExport Text: 32
KindNamespaceExportDeclaration Expression: 58
KindNamespaceExportDeclaration Initializer: 58
KindNamespaceExportDeclaration Text: 58
KindNamespaceImport Expression: 916
KindNamespaceImport Initializer: 916
KindNamespaceImport Text: 916
KindNeverKeyword Expression: 1119
KindNeverKeyword Initializer: 1119
KindNeverKeyword Text: 1119
KindNewExpression Initializer: 5019
KindNewExpression Text: 5019
KindNoSubstitutionTemplateLiteral Expression: 528
KindNoSubstitutionTemplateLiteral Initializer: 528
KindNonNullExpression Initializer: 1377
KindNonNullExpression Text: 1377
KindNullKeyword Expression: 5223
KindNullKeyword Initializer: 5223
KindNullKeyword Text: 5223
KindNumberKeyword Expression: 17909
KindNumberKeyword Initializer: 17909
KindNumberKeyword Text: 17909
KindNumericLiteral Expression: 83673
KindNumericLiteral Initializer: 83673
KindObjectBindingPattern Expression: 1955
KindObjectBindingPattern Initializer: 1955
KindObjectBindingPattern Text: 1955
KindObjectKeyword Expression: 434
KindObjectKeyword Initializer: 434
KindObjectKeyword Text: 434
KindObjectLiteralExpression Expression: 16216
KindObjectLiteralExpression Initializer: 16216
KindObjectLiteralExpression Text: 16216
KindOmittedExpression Expression: 112
KindOmittedExpression Initializer: 112
KindOmittedExpression Text: 112
KindOptionalType Expression: 86
KindOptionalType Initializer: 86
KindOptionalType Text: 86
KindOutKeyword Expression: 73
KindOutKeyword Initializer: 73
KindOutKeyword Text: 73
KindOverrideKeyword Expression: 118
KindOverrideKeyword Initializer: 118
KindOverrideKeyword Text: 118
KindParameter Expression: 70619
KindParameter Text: 70619
KindParenthesizedExpression Initializer: 12089
KindParenthesizedExpression Text: 12089
KindParenthesizedType Expression: 1535
KindParenthesizedType Initializer: 1535
KindParenthesizedType Text: 1535
KindPercentEqualsToken Expression: 18
KindPercentEqualsToken Initializer: 18
KindPercentEqualsToken Text: 18
KindPercentToken Expression: 200
KindPercentToken Initializer: 200
KindPercentToken Text: 200
KindPlusEqualsToken Expression: 1190
KindPlusEqualsToken Initializer: 1190
KindPlusEqualsToken Text: 1190
KindPlusToken Expression: 18171
KindPlusToken Initializer: 18171
KindPlusToken Text: 18171
KindPostfixUnaryExpression Expression: 2006
KindPostfixUnaryExpression Initializer: 2006
KindPostfixUnaryExpression Text: 2006
KindPrefixUnaryExpression Expression: 9659
